image,title,price,city,district,road,rooms,mrt_line,floor_size
https://urhouse.s3.amazonaws.com/images/rentals/08ed87bd895f5562aacffd47d4c086eb.jpg?31363531323235323632,MRT市府站*高樓精美裝潢*挑高,43000,台北市,信義區,基隆路一段,2,市政府,16.450000
https://urhouse.s3.amazonaws.com/attachments/images/old/15052/1.jpg,西門站.高樓採光全新釋出,44000,台北市,中正區,延平南路,1,西門,19.280000
https://urhouse.s3.amazonaws.com/images/rentals/45efb53717e251fff467ff439bbce62e.jpg?31363533363931343733,近捷運機能好漂亮裝潢,44800,台北市,中山區,民權東路一段,1,中山國小,14.420000
https://urhouse.s3.amazonaws.com/attachments/images/old/15132/1.jpg,【家合外商仲】忠孝敦化時尚三房,45000,台北市,大安區,敦化南路一段,3,忠孝敦化,28.930000
https://urhouse.s3.amazonaws.com/images/rentals/82d06664f103890e512a109d0b5d1011.jpg?31363533303439333734,MRT芝山/TAS.TES 天母,45000,台北市,士林區,德行東路,3,"",37.320000
https://urhouse.s3.amazonaws.com/images/rentals/fd8979ada2fd5bab05e9c5f035a5c4c7.jpg?31363536373634323533,近古亭站時尚二房,45000,台北市,中正區,南昌路二段,2,古亭,15.760000
https://urhouse.s3.amazonaws.com/attachments/images/old/3647/1.jpg,近東門.優質環境精美2+1房.速,45000,台北市,中正區,杭州南路一段,2,東門,33.970000
https://urhouse.s3.amazonaws.com/images/rentals/5f7020a8356d965f6c2fb42887d3df0f.jpg?31363438353235303631,大安森林公園1+1,45000,台北市,大安區,建國南路一段,1,大安森林公園,12.130000
https://urhouse.s3.amazonaws.com/attachments/images/old/14410/1.jpg,MRT中山國小、民權西路.高雅,45000,台北市,中山區,民權東路一段,0,中山國小,14.420000
https://urhouse.s3.amazonaws.com/images/rentals/3fc766eeb8f90bc3d4e5b0ed68639eee.jpg?31363531383232353436,MRT民權西路。機能便利。新裝潢,45000,台北市,中山區,農安街,2,民權西路,23.390000
https://urhouse.s3.amazonaws.com/images/rentals/703aea31975f2fa45fdb3e4a8e378ad1.jpg?31363438383036333836,MRT公館站/近台大/三總,45000,台北市,中正區,汀州路三段,3,公館（台灣大學）,29.640000
https://urhouse.s3.amazonaws.com/images/rentals/ec82bd533b0033cbd77efc4468d50093.jpg?31363534393339383435,忠孝新生/可寵浴缸/兩房空屋,45000,台北市,中正區,濟南路二段,2,忠孝新生（台北科大）,33.580000
https://urhouse.s3.amazonaws.com/attachments/images/old/1965/1.jpg,近忠孝新生捷運站*金洋大廈,45000,台北市,中山區,新生北路一段,3,忠孝新生（台北科大）,36.270000
https://urhouse.s3.amazonaws.com/images/rentals/470340e5b081f2e3653ec93a36ba5784.jpg?31363436383932373837,MRT六張犁。新穎漂亮。優質溫馨,45000,台北市,信義區,和平東路三段,2,六張犁,20.820000
https://urhouse.s3.amazonaws.com/images/rentals/ef864ebbb6f6386038671578e2548cdf.jpg?31363536343938313134,榮星花園高樓美景泡澡大套含車含管,45000,台北市,中山區,五常街,0,中山國中,18.780000
https://urhouse.s3.amazonaws.com/attachments/images/old/14062/1.jpg,MRT龍山寺、新穎社區、第一手承租【可線上參觀】,45000,台北市,萬華區,西園路二段,3,龍山寺（艋舺商圈）,37.240000
https://urhouse.s3.amazonaws.com/attachments/images/old/13775/1.jpg,MRT芝山 典雅美宅,45000,台北市,士林區,德行西路,2,芝山,21.000000
https://urhouse.s3.amazonaws.com/images/rentals/765812833515fce06c971624f85391da.jpg?31363537303136373534,南京三民 生活機能 全方位,45000,台北市,松山區,南京東路四段,3,南京三民,42.260000
https://urhouse.s3.amazonaws.com/images/rentals/f4cfab7920e9cb176ab3b4e324d85f63.jpg?31363535313833373133,MRT中山國小，可報稅,45000,台北市,中山區,新生北路三段,2,中山國小,23.000000
https://urhouse.s3.amazonaws.com/attachments/images/old/9962/1.jpg,古亭漂亮裝潢2房,45000,台北市,中正區,南昌路二段,2,古亭,17.760000
https://urhouse.s3.amazonaws.com/attachments/images/old/12498/1.jpg,MRT劍南路.明亮寬敞2+1.,45000,台北市,中山區,敬業三路,3,劍南路（美麗華）,46.960000
https://urhouse.s3.amazonaws.com/images/rentals/597a335cf6a10ec4f1861d6397a2fcdf.jpg?31363530343432323238,MRT象山/外商限定/101景觀,46000,台北市,信義區,信義路五段,1,象山,27.820000
https://urhouse.s3.amazonaws.com/images/rentals/5b18e1a3e2092783aea4b1aa4a894d8a.jpg?31363438313834383034,信義典雅小豪宅*採光佳,46000,台北市,信義區,信義路五段,1,象山,26.310000
https://urhouse.s3.amazonaws.com/attachments/images/old/11302/1.jpg,"近榮總 TAS,TJS 公園景觀",48000,台北市,北投區,天母北路,3,石牌（榮總）,40.390000
https://urhouse.s3.amazonaws.com/images/rentals/6cd3f3cfef62c9dbf52ea6645d16fb6b.jpg?31363436313130333537,MRT松江南京，酒店公寓，適外商,45000,台北市,中山區,松江路,0,松江南京,73.620000
https://urhouse.s3.amazonaws.com/images/rentals/2390243c9f76219138eed6daa4beee0f.jpg?31363436333730373539,大湖公園/清幽環境/美式裝潢2房,48000,台北市,內湖區,大湖街,2,大湖公園,33.790000
https://urhouse.s3.amazonaws.com/images/rentals/2bed57b5e7da7db0be5cd65a00bf6405.jpg?31363439333232333230,MRT台電大樓.師大商圈.住辦,46800,台北市,中正區,羅斯福路三段,3,台電大樓,35.750000
https://urhouse.s3.amazonaws.com/attachments/images/old/2532/1.jpg,東門捷運。精緻裝潢三房。傢俱電齊,48000,台北市,大安區,永康街,3,東門,27.640000
